FECHA,X,Prediccion_Lineal,Prediccion_Polinomica
2024-10-30,288,2934.5085158743696,3805.8979544203894
2024-10-31,289,2945.532493421213,3835.0758786036085
2024-11-01,290,2956.5564709680566,3864.379435635522
2024-11-02,291,2967.580448514899,3893.8086255161306
2024-11-03,292,2978.6044260617427,3923.3634482454336
2024-11-04,293,2989.6284036085863,3953.043903823431
2024-11-05,294,3000.65238115543,3982.8499922501237
2024-11-06,295,3011.6763587022733,4012.7817135255104
2024-11-07,296,3022.700336249117,4042.839067649592
2024-11-08,297,3033.7243137959604,4073.022054622368
2024-11-09,298,3044.748291342803,4103.33067444384
2024-11-10,299,3055.7722688896465,4133.764927114004
2024-11-11,300,3066.79624643649,4164.324812632864
2024-11-12,301,3077.8202239833336,4195.01033100042
2024-11-13,302,3088.844201530177,4225.821482216669
2024-11-14,303,3099.8681790770206,4256.758266281613
2024-11-15,304,3110.892156623864,4287.820683195252
2024-11-16,305,3121.9161341707068,4319.008732957585
2024-11-17,306,3132.9401117175503,4350.322415568613
2024-11-18,307,3143.964089264394,4381.761731028336
2024-11-19,308,3154.9880668112373,4413.326679336753
2024-11-20,309,3166.012044358081,4445.017260493865
2024-11-21,310,3177.0360219049244,4476.833474499672
2024-11-22,311,3188.059999451768,4508.775321354173
2024-11-23,312,3199.0839769986105,4540.842801057369
2024-11-24,313,3210.107954545454,4573.035913609259
2024-11-25,314,3221.1319320922976,4605.354659009845
2024-11-26,315,3232.155909639141,4637.799037259124
2024-11-27,316,3243.1798871859846,4670.369048357098
2024-11-28,317,3254.203864732828,4703.0646923037675
2024-11-29,318,3265.2278422796717,4735.885969099131
2024-11-30,319,3276.251819826515,4768.832878743189
2024-12-01,320,3287.275797373358,4801.905421235942
2024-12-02,321,3298.2997749202013,4835.10359657739
2024-12-03,322,3309.323752467045,4868.427404767533
2024-12-04,323,3320.3477300138884,4901.876845806369
2024-12-05,324,3331.371707560732,4935.451919693901
2024-12-06,325,3342.3956851075754,4969.1526264301265
2024-12-07,326,3353.419662654419,5002.978966015048
2024-12-08,327,3364.4436402012616,5036.930938448663
2024-12-09,328,3375.467617748105,5071.0085437309735
2024-12-10,329,3386.4915952949486,5105.211781861978
2024-12-11,330,3397.515572841792,5139.540652841677
2024-12-12,331,3408.5395503886357,5173.995156670072
2024-12-13,332,3419.563527935479,5208.57529334716
2024-12-14,333,3430.5875054823227,5243.281062872944
2024-12-15,334,3441.6114830291654,5278.112465247422
2024-12-16,335,3452.635460576009,5313.069500470594
2024-12-17,336,3463.6594381228524,5348.152168542461
2024-12-18,337,3474.683415669696,5383.360469463023
2024-12-19,338,3485.7073932165395,5418.69440323228
2024-12-20,339,3496.731370763383,5454.153969850231
2024-12-21,340,3507.7553483102265,5489.7391693168765
2024-12-22,341,3518.779325857069,5525.450001632217
2024-12-23,342,3529.8033034039127,5561.286466796252
2024-12-24,343,3540.827280950756,5597.248564808982
2024-12-25,344,3551.8512584975997,5633.336295670406
2024-12-26,345,3562.875236044443,5669.549659380526
2024-12-27,346,3573.8992135912868,5705.8886559393395
2024-12-28,347,3584.9231911381303,5742.353285346848
2024-12-29,348,3595.947168684973,5778.94354760305
2024-12-30,349,3606.9711462318164,5815.659442707948
2024-12-31,350,3617.99512377866,5852.50097066154
2025-01-01,351,3629.0191013255035,5889.468131463827
2025-01-02,352,3640.043078872347,5926.560925114809
2025-01-03,353,3651.0670564191905,5963.779351614485
2025-01-04,354,3662.091033966034,6001.123410962856
2025-01-05,355,3673.1150115128776,6038.593103159921
2025-01-06,356,3684.13898905972,6076.188428205682
2025-01-07,357,3695.1629666065637,6113.9093861001365
2025-01-08,358,3706.1869441534072,6151.755976843286
2025-01-09,359,3717.2109217002508,6189.72820043513
2025-01-10,360,3728.2348992470943,6227.826056875668
2025-01-11,361,3739.258876793938,6266.049546164902
2025-01-12,362,3750.2828543407813,6304.39866830283
2025-01-13,363,3761.306831887624,6342.873423289452
2025-01-14,364,3772.3308094344675,6381.473811124769
2025-01-15,365,3783.354786981311,6420.199831808782
2025-01-16,366,3794.3787645281545,6459.051485341488
2025-01-17,367,3805.402742074998,6498.028771722888
2025-01-18,368,3816.4267196218416,6537.131690952985
2025-01-19,369,3827.450697168685,6576.360243031775
2025-01-20,370,3838.4746747155277,6615.71442795926
2025-01-21,371,3849.4986522623713,6655.19424573544
2025-01-22,372,3860.522629809215,6694.799696360315
2025-01-23,373,3871.5466073560583,6734.530779833884
2025-01-24,374,3882.570584902902,6774.387496156147
2025-01-25,375,3893.5945624497454,6814.369845327105
2025-01-26,376,3904.618539996589,6854.477827346758
2025-01-27,377,3915.6425175434324,6894.711442215106
